Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
104,Ohio,12,2316,2871,865,5187,6,432.3
105,Louisiana Tech,12,1998,3214,855,5212,6.1,434.3
106,Missouri,13,2963,2688,886,5651,6.38,434.7
107,Rice,12,1944,3287,782,5231,6.69,435.9
108,Eastern Michigan,13,2599,3070,902,5669,6.28,436.1
109,Western Kentucky,14,2358,3753,1083,6111,5.64,436.5
110,Michigan State,13,1511,4222,1025,5733,5.59,441
111,Georgia Southern,12,1829,3470,823,5299,6.44,441.6
112,Hawai'i,13,2032,3766,1008,5798,5.75,446
113,Stanford,12,2828,2579,834,5407,6.48,450.6
114,Louisiana-Monroe,12,1949,3470,856,5419,6.33,451.6
115,Connecticut,12,2326,3096,916,5422,5.92,451.8
116,Northern Illinois,14,3003,3332,925,6335,6.85,452.5
117,Georgia Tech,12,2184,3276,826,5460,6.61,455
118,Vanderbilt,12,2317,3171,813,5488,6.75,457.3
119,TCU,12,2664,2877,768,5541,7.21,461.8
120,Charlotte,12,2446,3130,782,5576,7.13,464.7
121,Virginia,12,2710,2882,844,5592,6.63,466
122,Akron,12,2987,2622,783,5609,7.16,467.4
123,South Florida,12,2487,3170,809,5657,6.99,471.4
124,Kent State,14,2882,3724,1066,6606,6.2,471.9
125,Massachusetts,12,2825,2995,794,5820,7.33,485
126,Kansas,12,2998,2837,809,5835,7.21,486.3
127,New Mexico State,12,2349,3493,798,5842,7.32,486.8
128,Florida International,12,2758,3154,882,5912,6.7,492.7
129,Arkansas State,12,3133,2938,840,6071,7.23,505.9
130,Duke,12,2470,3741,873,6211,7.11,517.6
