Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
97,Rice,12,1794,2540,821,4334,5.28,361.2
98,Minnesota,13,2574,2106,858,4680,5.45,360
99,Clemson,13,2184,2485,903,4669,5.17,359.2
100,Middle Tennessee,13,1608,3040,920,4648,5.05,357.5
101,Arizona,12,1548,2711,870,4259,4.9,354.9
102,South Florida,12,1902,2309,841,4211,5.01,350.9
103,Boston College,12,1971,2217,783,4188,5.35,349
104,San Diego State,14,2431,2351,932,4782,5.13,341.6
105,Texas State,12,1772,2322,829,4094,4.94,341.2
106,San Jose State,12,1441,2645,755,4086,5.41,340.5
107,Georgia Southern,12,2319,1765,811,4084,5.04,340.3
108,Akron,12,1463,2610,785,4073,5.19,339.4
109,Ball State,13,1699,2699,884,4398,4.98,338.3
110,South Carolina,13,1770,2615,828,4385,5.3,337.3
111,Troy,12,1187,2850,785,4037,5.14,336.4
112,Illinois,12,2083,1874,790,3957,5.01,329.8
113,Louisiana-Monroe,12,1566,2328,854,3894,4.56,324.5
114,Kansas,12,1672,2218,754,3890,5.16,324.2
115,Washington,12,1181,2700,779,3881,4.98,323.4
116,Northwestern,12,1691,2128,817,3819,4.67,318.3
117,Bowling Green,12,1228,2578,777,3806,4.9,317.2
118,Vanderbilt,12,1482,2272,831,3754,4.52,312.8
119,UNLV,12,1317,2434,727,3751,5.16,312.6
120,Rutgers,13,1817,2229,894,4046,4.53,311.2
121,Iowa,14,1731,2521,911,4252,4.67,303.7
122,Stanford,12,1042,2582,697,3624,5.2,302
123,Massachusetts,12,1764,1832,748,3596,4.81,299.7
124,Indiana,12,1370,2106,818,3476,4.25,289.7
125,Temple,12,1315,2126,724,3441,4.75,286.8
126,Navy,12,2717,681,794,3398,4.28,283.2
127,Southern Mississippi,12,1449,1746,752,3195,4.25,266.3
128,Connecticut,12,1195,1970,784,3165,4.04,263.8
129,Colorado,12,1516,1575,707,3091,4.37,257.6
130,New Mexico,12,1444,1366,725,2810,3.88,234.2
